library,stage,supported,sample_count,mean_elapsed_ms,mean_max_footprint_mb,mean_filtered_cpu_percent
dstpy,step1,True,2,278.730989,0.0,1.325101
dstpy,step2,True,2,272.344828,0.0,0.733568
dstpy,step3,True,2,277.716517,0.0,0.653766
dstpy,step4,True,2,281.674623,0.0,0.700673
dstz,step1,True,2,168.714285,0.0,0.995223
dstz,step2,True,2,133.422971,0.0,3.100198
dstz,step3,True,2,151.710033,0.0,0.0
dstz,step4,False,0,0.0,0.0,0.0
our,step1,True,2,121.291995,0.0,0.0
our,step2,True,2,111.483693,0.0,0.0
our,step3,True,2,125.312448,0.0,0.0
our,step4,True,2,142.877221,0.0,0.0
pyds,step1,True,2,245.140195,0.0,0.0
pyds,step2,True,2,256.712914,0.0,0.63004
pyds,step3,False,0,0.0,0.0,0.0
pyds,step4,False,0,0.0,0.0,0.0
